,Date,Hour,Daily Peak Probability,Vote
136,1/6/2008,17,,0
137,1/6/2008,18,,5
138,1/6/2008,19,,801
139,1/6/2008,20,,45
140,1/6/2008,21,,72
141,1/6/2008,22,,71
142,1/6/2008,23,,0
143,1/6/2008,24,,0
144,1/7/2008,1,,0
145,1/7/2008,2,,0
146,1/7/2008,3,,0
147,1/7/2008,4,,0
148,1/7/2008,5,,0
149,1/7/2008,6,,0
150,1/7/2008,7,,536
151,1/7/2008,8,,333
152,1/7/2008,9,,100
153,1/7/2008,10,,6
154,1/7/2008,11,,0
155,1/7/2008,12,,0
156,1/7/2008,13,,0
157,1/7/2008,14,,0
158,1/7/2008,15,,0
159,1/7/2008,16,,0
160,1/7/2008,17,,0
161,1/7/2008,18,,0
162,1/7/2008,19,,3
163,1/7/2008,20,,22
164,1/7/2008,21,,0
165,1/7/2008,22,,0
166,1/7/2008,23,,0
167,1/7/2008,24,,0
168,1/8/2008,1,,0
169,1/8/2008,2,,0
170,1/8/2008,3,,0
171,1/8/2008,4,,0
172,1/8/2008,5,,0
173,1/8/2008,6,,0
174,1/8/2008,7,,0
175,1/8/2008,8,,0
176,1/8/2008,9,,0
177,1/8/2008,10,,0
178,1/8/2008,11,,0
179,1/8/2008,12,,0
180,1/8/2008,13,,0
181,1/8/2008,14,,0
182,1/8/2008,15,,0
183,1/8/2008,16,,0
184,1/8/2008,17,,0
185,1/8/2008,18,,0
186,1/8/2008,19,,2
187,1/8/2008,20,,359
188,1/8/2008,21,,587
189,1/8/2008,22,,52
190,1/8/2008,23,,0
191,1/8/2008,24,,0
192,1/9/2008,1,,0
193,1/9/2008,2,,0
194,1/9/2008,3,,0
195,1/9/2008,4,,0
196,1/9/2008,5,,0
197,1/9/2008,6,,0
198,1/9/2008,7,,489
199,1/9/2008,8,,493
200,1/9/2008,9,,16
201,1/9/2008,10,,0
202,1/9/2008,11,,0
203,1/9/2008,12,,0
204,1/9/2008,13,,0
205,1/9/2008,14,,0
206,1/9/2008,15,,0
207,1/9/2008,16,,0
208,1/9/2008,17,,0
209,1/9/2008,18,,0
210,1/9/2008,19,,0
211,1/9/2008,20,,2
212,1/9/2008,21,,0
213,1/9/2008,22,,0
214,1/9/2008,23,,0
215,1/9/2008,24,,0
216,1/10/2008,1,,0
217,1/10/2008,2,,0
218,1/10/2008,3,,0
219,1/10/2008,4,,0
220,1/10/2008,5,,0
221,1/10/2008,6,,0
222,1/10/2008,7,,499
223,1/10/2008,8,,491
224,1/10/2008,9,,7
225,1/10/2008,10,,0
226,1/10/2008,11,,0
227,1/10/2008,12,,0
228,1/10/2008,13,,0
229,1/10/2008,14,,0
230,1/10/2008,15,,0
231,1/10/2008,16,,0
232,1/10/2008,17,,0
233,1/10/2008,18,,0
234,1/10/2008,19,,0
235,1/10/2008,20,,0
236,1/10/2008,21,,3
237,1/10/2008,22,,0
238,1/10/2008,23,,0
239,1/10/2008,24,,0
240,1/11/2008,1,,0
241,1/11/2008,2,,0
242,1/11/2008,3,,0
243,1/11/2008,4,,0
244,1/11/2008,5,,0
245,1/11/2008,6,,0
246,1/11/2008,7,,900
247,1/11/2008,8,,100
248,1/11/2008,9,,0
249,1/11/2008,10,,0
250,1/11/2008,11,,0
251,1/11/2008,12,,0
252,1/11/2008,13,,0
253,1/11/2008,14,,0
254,1/11/2008,15,,0
255,1/11/2008,16,,0
256,1/11/2008,17,,0
257,1/11/2008,18,,0
258,1/11/2008,19,,0
259,1/11/2008,20,,0
260,1/11/2008,21,,0
261,1/11/2008,22,,0
262,1/11/2008,23,,0
263,1/11/2008,24,,0
264,1/12/2008,1,,0
265,1/12/2008,2,,0
266,1/12/2008,3,,0
267,1/12/2008,4,,0
268,1/12/2008,5,,0
269,1/12/2008,6,,0
270,1/12/2008,7,,83
271,1/12/2008,8,,606
272,1/12/2008,9,,311
273,1/12/2008,10,,0
274,1/12/2008,11,,0
275,1/12/2008,12,,0
276,1/12/2008,13,,0
277,1/12/2008,14,,0
278,1/12/2008,15,,0
279,1/12/2008,16,,0
280,1/12/2008,17,,0
281,1/12/2008,18,,0
282,1/12/2008,19,,0
283,1/12/2008,20,,0
284,1/12/2008,21,,0
285,1/12/2008,22,,0
286,1/12/2008,23,,0
287,1/12/2008,24,,0
288,1/13/2008,1,,0
289,1/13/2008,2,,0
290,1/13/2008,3,,0
291,1/13/2008,4,,0
292,1/13/2008,5,,0
293,1/13/2008,6,,0
294,1/13/2008,7,,0
295,1/13/2008,8,,51
296,1/13/2008,9,,855
297,1/13/2008,10,,51
298,1/13/2008,11,,1
299,1/13/2008,12,,0
300,1/13/2008,13,,0
301,1/13/2008,14,,0
302,1/13/2008,15,,0
303,1/13/2008,16,,0
304,1/13/2008,17,,0
305,1/13/2008,18,,0
306,1/13/2008,19,,39
307,1/13/2008,20,,3
308,1/13/2008,21,,0
309,1/13/2008,22,,0
310,1/13/2008,23,,0
311,1/13/2008,24,,0
312,1/14/2008,1,,0
313,1/14/2008,2,,0
314,1/14/2008,3,,0
315,1/14/2008,4,,0
316,1/14/2008,5,,0
317,1/14/2008,6,,0
318,1/14/2008,7,,240
319,1/14/2008,8,,488
320,1/14/2008,9,,58
321,1/14/2008,10,,0
322,1/14/2008,11,,0
323,1/14/2008,12,,0
324,1/14/2008,13,,0
325,1/14/2008,14,,0
326,1/14/2008,15,,0
327,1/14/2008,16,,0
328,1/14/2008,17,,0
329,1/14/2008,18,,0
330,1/14/2008,19,,138
331,1/14/2008,20,,72
332,1/14/2008,21,,4
333,1/14/2008,22,,0
334,1/14/2008,23,,0
335,1/14/2008,24,,0
336,1/15/2008,1,,0
337,1/15/2008,2,,0
338,1/15/2008,3,,0
339,1/15/2008,4,,0
340,1/15/2008,5,,0
341,1/15/2008,6,,0
342,1/15/2008,7,,0
343,1/15/2008,8,,0
344,1/15/2008,9,,0
345,1/15/2008,10,,0
346,1/15/2008,11,,0
347,1/15/2008,12,,0
348,1/15/2008,13,,0
349,1/15/2008,14,,0
350,1/15/2008,15,,0
351,1/15/2008,16,,0
352,1/15/2008,17,,0
353,1/15/2008,18,,0
354,1/15/2008,19,,668
355,1/15/2008,20,,330
356,1/15/2008,21,,2
357,1/15/2008,22,,0
358,1/15/2008,23,,0
359,1/15/2008,24,,0
360,1/16/2008,1,,0
361,1/16/2008,2,,0
362,1/16/2008,3,,0
363,1/16/2008,4,,0
364,1/16/2008,5,,0
365,1/16/2008,6,,0
366,1/16/2008,7,,0
367,1/16/2008,8,,0
368,1/16/2008,9,,0
369,1/16/2008,10,,1
370,1/16/2008,11,,0
371,1/16/2008,12,,0
372,1/16/2008,13,,0
373,1/16/2008,14,,0
374,1/16/2008,15,,0
375,1/16/2008,16,,0
376,1/16/2008,17,,0
377,1/16/2008,18,,0
378,1/16/2008,19,,359
379,1/16/2008,20,,423
380,1/16/2008,21,,211
381,1/16/2008,22,,6
382,1/16/2008,23,,0
383,1/16/2008,24,,0
384,1/17/2008,1,,0
385,1/17/2008,2,,0
386,1/17/2008,3,,0
387,1/17/2008,4,,0
388,1/17/2008,5,,0
389,1/17/2008,6,,0
390,1/17/2008,7,,96
391,1/17/2008,8,,831
392,1/17/2008,9,,65
393,1/17/2008,10,,0
394,1/17/2008,11,,0
395,1/17/2008,12,,0
396,1/17/2008,13,,0
397,1/17/2008,14,,0
398,1/17/2008,15,,0
399,1/17/2008,16,,0
400,1/17/2008,17,,0
401,1/17/2008,18,,0
402,1/17/2008,19,,0
403,1/17/2008,20,,2
404,1/17/2008,21,,5
405,1/17/2008,22,,1
406,1/17/2008,23,,0
407,1/17/2008,24,,0
408,1/18/2008,1,,0
409,1/18/2008,2,,0
410,1/18/2008,3,,0
411,1/18/2008,4,,0
412,1/18/2008,5,,0
413,1/18/2008,6,,0
414,1/18/2008,7,,7
415,1/18/2008,8,,312
416,1/18/2008,9,,44
417,1/18/2008,10,,4
418,1/18/2008,11,,0
419,1/18/2008,12,,0
420,1/18/2008,13,,0
421,1/18/2008,14,,0
422,1/18/2008,15,,0
423,1/18/2008,16,,0
424,1/18/2008,17,,0
425,1/18/2008,18,,13
426,1/18/2008,19,,257
427,1/18/2008,20,,329
428,1/18/2008,21,,34
429,1/18/2008,22,,0
430,1/18/2008,23,,0
431,1/18/2008,24,,0
432,1/19/2008,1,,0
433,1/19/2008,2,,0
434,1/19/2008,3,,0
435,1/19/2008,4,,0
436,1/19/2008,5,,0
437,1/19/2008,6,,0
438,1/19/2008,7,,0
439,1/19/2008,8,,304
440,1/19/2008,9,,618
441,1/19/2008,10,,23
442,1/19/2008,11,,0
443,1/19/2008,12,,0
444,1/19/2008,13,,0
445,1/19/2008,14,,0
446,1/19/2008,15,,0
447,1/19/2008,16,,0
448,1/19/2008,17,,0
449,1/19/2008,18,,0
450,1/19/2008,19,,2
451,1/19/2008,20,,20
452,1/19/2008,21,,24
453,1/19/2008,22,,9
454,1/19/2008,23,,0
455,1/19/2008,24,,0
456,1/20/2008,1,,0
457,1/20/2008,2,,0
458,1/20/2008,3,,0
459,1/20/2008,4,,0
460,1/20/2008,5,,0
461,1/20/2008,6,,0
462,1/20/2008,7,,0
463,1/20/2008,8,,69
464,1/20/2008,9,,227
465,1/20/2008,10,,0
466,1/20/2008,11,,0
467,1/20/2008,12,,0
468,1/20/2008,13,,0
469,1/20/2008,14,,0
470,1/20/2008,15,,0
471,1/20/2008,16,,0
472,1/20/2008,17,,0
473,1/20/2008,18,,0
474,1/20/2008,19,,16
475,1/20/2008,20,,281
476,1/20/2008,21,,355
477,1/20/2008,22,,52
478,1/20/2008,23,,0
479,1/20/2008,24,,0
480,1/21/2008,1,,0
481,1/21/2008,2,,0
482,1/21/2008,3,,0
483,1/21/2008,4,,0
484,1/21/2008,5,,0
485,1/21/2008,6,,0
486,1/21/2008,7,,0
487,1/21/2008,8,,9
488,1/21/2008,9,,44
489,1/21/2008,10,,0
490,1/21/2008,11,,0
491,1/21/2008,12,,0
492,1/21/2008,13,,0
493,1/21/2008,14,,0
494,1/21/2008,15,,0
495,1/21/2008,16,,0
496,1/21/2008,17,,0
497,1/21/2008,18,,13
498,1/21/2008,19,,57
499,1/21/2008,20,,548
500,1/21/2008,21,,322
501,1/21/2008,22,,7
502,1/21/2008,23,,0
503,1/21/2008,24,,0
504,1/22/2008,1,,0
505,1/22/2008,2,,0
506,1/22/2008,3,,0
507,1/22/2008,4,,0
508,1/22/2008,5,,0
509,1/22/2008,6,,0
510,1/22/2008,7,,41
511,1/22/2008,8,,884
512,1/22/2008,9,,58
513,1/22/2008,10,,1
514,1/22/2008,11,,0
515,1/22/2008,12,,0
516,1/22/2008,13,,0
517,1/22/2008,14,,0
518,1/22/2008,15,,0
519,1/22/2008,16,,0
520,1/22/2008,17,,0
521,1/22/2008,18,,0
522,1/22/2008,19,,6
523,1/22/2008,20,,6
524,1/22/2008,21,,4
525,1/22/2008,22,,0
526,1/22/2008,23,,0
527,1/22/2008,24,,0
528,1/23/2008,1,,0
529,1/23/2008,2,,0
530,1/23/2008,3,,0
531,1/23/2008,4,,0
532,1/23/2008,5,,0
533,1/23/2008,6,,0
534,1/23/2008,7,,5
535,1/23/2008,8,,592
536,1/23/2008,9,,85
537,1/23/2008,10,,0
538,1/23/2008,11,,0
539,1/23/2008,12,,0
540,1/23/2008,13,,0
541,1/23/2008,14,,0
542,1/23/2008,15,,0
543,1/23/2008,16,,0
544,1/23/2008,17,,0
545,1/23/2008,18,,0
546,1/23/2008,19,,3
547,1/23/2008,20,,108
548,1/23/2008,21,,197
549,1/23/2008,22,,10
550,1/23/2008,23,,0
551,1/23/2008,24,,0
552,1/24/2008,1,,0
553,1/24/2008,2,,0
554,1/24/2008,3,,0
555,1/24/2008,4,,0
556,1/24/2008,5,,0
557,1/24/2008,6,,0
558,1/24/2008,7,,429
559,1/24/2008,8,,552
560,1/24/2008,9,,19
561,1/24/2008,10,,0
562,1/24/2008,11,,0
563,1/24/2008,12,,0
564,1/24/2008,13,,0
565,1/24/2008,14,,0
566,1/24/2008,15,,0
567,1/24/2008,16,,0
568,1/24/2008,17,,0
569,1/24/2008,18,,0
570,1/24/2008,19,,0
571,1/24/2008,20,,0
572,1/24/2008,21,,0
573,1/24/2008,22,,0
574,1/24/2008,23,,0
575,1/24/2008,24,,0
576,1/25/2008,1,,0
577,1/25/2008,2,,0
578,1/25/2008,3,,0
579,1/25/2008,4,,0
580,1/25/2008,5,,0
581,1/25/2008,6,,0
582,1/25/2008,7,,50
583,1/25/2008,8,,566
584,1/25/2008,9,,10
585,1/25/2008,10,,0
586,1/25/2008,11,,0
587,1/25/2008,12,,0
588,1/25/2008,13,,0
589,1/25/2008,14,,0
590,1/25/2008,15,,0
591,1/25/2008,16,,0
592,1/25/2008,17,,0
593,1/25/2008,18,,0
594,1/25/2008,19,,0
595,1/25/2008,20,,31
596,1/25/2008,21,,310
597,1/25/2008,22,,33
598,1/25/2008,23,,0
599,1/25/2008,24,,0
600,1/26/2008,1,,0
601,1/26/2008,2,,0
602,1/26/2008,3,,0
603,1/26/2008,4,,0
604,1/26/2008,5,,0
605,1/26/2008,6,,0
606,1/26/2008,7,,21
607,1/26/2008,8,,961
608,1/26/2008,9,,18
609,1/26/2008,10,,0
610,1/26/2008,11,,0
611,1/26/2008,12,,0
612,1/26/2008,13,,0
613,1/26/2008,14,,0
614,1/26/2008,15,,0
615,1/26/2008,16,,0
616,1/26/2008,17,,0
617,1/26/2008,18,,0
618,1/26/2008,19,,0
619,1/26/2008,20,,0
620,1/26/2008,21,,0
621,1/26/2008,22,,0
622,1/26/2008,23,,0
623,1/26/2008,24,,0
624,1/27/2008,1,,0
625,1/27/2008,2,,0
626,1/27/2008,3,,0
627,1/27/2008,4,,0
628,1/27/2008,5,,0
629,1/27/2008,6,,0
630,1/27/2008,7,,1
631,1/27/2008,8,,742
632,1/27/2008,9,,253
633,1/27/2008,10,,4
634,1/27/2008,11,,0
635,1/27/2008,12,,0
636,1/27/2008,13,,0
637,1/27/2008,14,,0
638,1/27/2008,15,,0
639,1/27/2008,16,,0
640,1/27/2008,17,,0
641,1/27/2008,18,,0
642,1/27/2008,19,,0
643,1/27/2008,20,,0
644,1/27/2008,21,,0
645,1/27/2008,22,,0
646,1/27/2008,23,,0
647,1/27/2008,24,,0
648,1/28/2008,1,,0
649,1/28/2008,2,,0
650,1/28/2008,3,,0
651,1/28/2008,4,,0
652,1/28/2008,5,,0
653,1/28/2008,6,,0
654,1/28/2008,7,,0
655,1/28/2008,8,,0
656,1/28/2008,9,,0
657,1/28/2008,10,,5
658,1/28/2008,11,,0
659,1/28/2008,12,,0
660,1/28/2008,13,,0
661,1/28/2008,14,,0
662,1/28/2008,15,,0
663,1/28/2008,16,,0
664,1/28/2008,17,,0
665,1/28/2008,18,,0
666,1/28/2008,19,,8
667,1/28/2008,20,,136
668,1/28/2008,21,,393
669,1/28/2008,22,,439
670,1/28/2008,23,,19
671,1/28/2008,24,,0
672,1/29/2008,1,,0
673,1/29/2008,2,,0
674,1/29/2008,3,,0
675,1/29/2008,4,,0
676,1/29/2008,5,,0
677,1/29/2008,6,,0
678,1/29/2008,7,,218
679,1/29/2008,8,,773
680,1/29/2008,9,,9
681,1/29/2008,10,,0
682,1/29/2008,11,,0
683,1/29/2008,12,,0
684,1/29/2008,13,,0
685,1/29/2008,14,,0
686,1/29/2008,15,,0
687,1/29/2008,16,,0
688,1/29/2008,17,,0
689,1/29/2008,18,,0
690,1/29/2008,19,,0
691,1/29/2008,20,,0
692,1/29/2008,21,,0
693,1/29/2008,22,,0
694,1/29/2008,23,,0
695,1/29/2008,24,,0
696,1/30/2008,1,,0
697,1/30/2008,2,,0
698,1/30/2008,3,,0
699,1/30/2008,4,,0
700,1/30/2008,5,,0
701,1/30/2008,6,,0
702,1/30/2008,7,,540
703,1/30/2008,8,,458
704,1/30/2008,9,,2
705,1/30/2008,10,,0
706,1/30/2008,11,,0
707,1/30/2008,12,,0
708,1/30/2008,13,,0
709,1/30/2008,14,,0
710,1/30/2008,15,,0
711,1/30/2008,16,,0
712,1/30/2008,17,,0
713,1/30/2008,18,,0
714,1/30/2008,19,,0
715,1/30/2008,20,,0
716,1/30/2008,21,,0
717,1/30/2008,22,,0
718,1/30/2008,23,,0
719,1/30/2008,24,,0
720,1/31/2008,1,,0
721,1/31/2008,2,,0
722,1/31/2008,3,,0
723,1/31/2008,4,,0
724,1/31/2008,5,,0
725,1/31/2008,6,,0
726,1/31/2008,7,,113
727,1/31/2008,8,,883
728,1/31/2008,9,,4
729,1/31/2008,10,,0
730,1/31/2008,11,,0
731,1/31/2008,12,,0
732,1/31/2008,13,,0
733,1/31/2008,14,,0
734,1/31/2008,15,,0
735,1/31/2008,16,,0
736,1/31/2008,17,,0
737,1/31/2008,18,,0
738,1/31/2008,19,,0
739,1/31/2008,20,,0
740,1/31/2008,21,,0
741,1/31/2008,22,,0
742,1/31/2008,23,,0
743,1/31/2008,24,,0
744,2/1/2008,1,,0
745,2/1/2008,2,,0
746,2/1/2008,3,,0
747,2/1/2008,4,,0
748,2/1/2008,5,,0
749,2/1/2008,6,,0
750,2/1/2008,7,,12
751,2/1/2008,8,,622
752,2/1/2008,9,,278
753,2/1/2008,10,,2
754,2/1/2008,11,,2
755,2/1/2008,12,,10
756,2/1/2008,13,,0
757,2/1/2008,14,,0
758,2/1/2008,15,,0
759,2/1/2008,16,,0
760,2/1/2008,17,,0
761,2/1/2008,18,,0
762,2/1/2008,19,,24
763,2/1/2008,20,,47
764,2/1/2008,21,,3
765,2/1/2008,22,,0
766,2/1/2008,23,,0
767,2/1/2008,24,,0
768,2/2/2008,1,,0
769,2/2/2008,2,,0
770,2/2/2008,3,,0
771,2/2/2008,4,,0
772,2/2/2008,5,,0
773,2/2/2008,6,,0
774,2/2/2008,7,,0
775,2/2/2008,8,,53
776,2/2/2008,9,,722
777,2/2/2008,10,,221
778,2/2/2008,11,,1
779,2/2/2008,12,,0
780,2/2/2008,13,,0
781,2/2/2008,14,,0
782,2/2/2008,15,,0
783,2/2/2008,16,,0
784,2/2/2008,17,,0
785,2/2/2008,18,,0
786,2/2/2008,19,,1
787,2/2/2008,20,,1
788,2/2/2008,21,,1
789,2/2/2008,22,,0
790,2/2/2008,23,,0
791,2/2/2008,24,,0
792,2/3/2008,1,,0
793,2/3/2008,2,,0
794,2/3/2008,3,,0
795,2/3/2008,4,,0
796,2/3/2008,5,,0
797,2/3/2008,6,,0
798,2/3/2008,7,,0
799,2/3/2008,8,,202
800,2/3/2008,9,,796
801,2/3/2008,10,,2
802,2/3/2008,11,,0
803,2/3/2008,12,,0
804,2/3/2008,13,,0
805,2/3/2008,14,,0
806,2/3/2008,15,,0
807,2/3/2008,16,,0
808,2/3/2008,17,,0
809,2/3/2008,18,,0
810,2/3/2008,19,,0
811,2/3/2008,20,,0
812,2/3/2008,21,,0
813,2/3/2008,22,,0
814,2/3/2008,23,,0
815,2/3/2008,24,,0
816,2/4/2008,1,,0
817,2/4/2008,2,,0
818,2/4/2008,3,,0
819,2/4/2008,4,,0
820,2/4/2008,5,,0
821,2/4/2008,6,,0
822,2/4/2008,7,,646
823,2/4/2008,8,,353
824,2/4/2008,9,,1
825,2/4/2008,10,,0
826,2/4/2008,11,,0
827,2/4/2008,12,,0
828,2/4/2008,13,,0
829,2/4/2008,14,,0
830,2/4/2008,15,,0
831,2/4/2008,16,,0
832,2/4/2008,17,,0
833,2/4/2008,18,,0
834,2/4/2008,19,,0
835,2/4/2008,20,,0
836,2/4/2008,21,,0
837,2/4/2008,22,,0
838,2/4/2008,23,,0
839,2/4/2008,24,,0
840,2/5/2008,1,,0
841,2/5/2008,2,,0
842,2/5/2008,3,,0
843,2/5/2008,4,,0
844,2/5/2008,5,,0
845,2/5/2008,6,,0
846,2/5/2008,7,,328
847,2/5/2008,8,,672
848,2/5/2008,9,,0
849,2/5/2008,10,,0
850,2/5/2008,11,,0
851,2/5/2008,12,,0
852,2/5/2008,13,,0
853,2/5/2008,14,,0
854,2/5/2008,15,,0
855,2/5/2008,16,,0
856,2/5/2008,17,,0
857,2/5/2008,18,,0
858,2/5/2008,19,,0
859,2/5/2008,20,,0
860,2/5/2008,21,,0
861,2/5/2008,22,,0
862,2/5/2008,23,,0
863,2/5/2008,24,,0
864,2/6/2008,1,,0
865,2/6/2008,2,,0
866,2/6/2008,3,,0
867,2/6/2008,4,,0
868,2/6/2008,5,,0
869,2/6/2008,6,,0
870,2/6/2008,7,,443
871,2/6/2008,8,,548
872,2/6/2008,9,,9
873,2/6/2008,10,,0
874,2/6/2008,11,,0
875,2/6/2008,12,,0
876,2/6/2008,13,,0
877,2/6/2008,14,,0
878,2/6/2008,15,,0
879,2/6/2008,16,,0
880,2/6/2008,17,,0
881,2/6/2008,18,,0
882,2/6/2008,19,,0
883,2/6/2008,20,,0
884,2/6/2008,21,,0
885,2/6/2008,22,,0
886,2/6/2008,23,,0
887,2/6/2008,24,,0
888,2/7/2008,1,,0
889,2/7/2008,2,,0
890,2/7/2008,3,,0
891,2/7/2008,4,,0
892,2/7/2008,5,,0
893,2/7/2008,6,,0
894,2/7/2008,7,,20
895,2/7/2008,8,,122
896,2/7/2008,9,,9
897,2/7/2008,10,,121
898,2/7/2008,11,,0
899,2/7/2008,12,,0
900,2/7/2008,13,,0
901,2/7/2008,14,,0
902,2/7/2008,15,,0
903,2/7/2008,16,,0
904,2/7/2008,17,,0
905,2/7/2008,18,,0
906,2/7/2008,19,,9
907,2/7/2008,20,,161
908,2/7/2008,21,,169
909,2/7/2008,22,,389
910,2/7/2008,23,,0
911,2/7/2008,24,,0
912,2/8/2008,1,,0
913,2/8/2008,2,,0
914,2/8/2008,3,,0
915,2/8/2008,4,,0
916,2/8/2008,5,,0
917,2/8/2008,6,,0
918,2/8/2008,7,,292
919,2/8/2008,8,,700
920,2/8/2008,9,,7
921,2/8/2008,10,,0
922,2/8/2008,11,,0
923,2/8/2008,12,,0
924,2/8/2008,13,,0
925,2/8/2008,14,,0
926,2/8/2008,15,,0
927,2/8/2008,16,,0
928,2/8/2008,17,,0
929,2/8/2008,18,,0
930,2/8/2008,19,,0
931,2/8/2008,20,,0
932,2/8/2008,21,,0
933,2/8/2008,22,,1
934,2/8/2008,23,,0
935,2/8/2008,24,,0
936,2/9/2008,1,,0
937,2/9/2008,2,,0
938,2/9/2008,3,,0
939,2/9/2008,4,,0
940,2/9/2008,5,,0
941,2/9/2008,6,,0
942,2/9/2008,7,,14
943,2/9/2008,8,,576
944,2/9/2008,9,,410
945,2/9/2008,10,,0
946,2/9/2008,11,,0
947,2/9/2008,12,,0
948,2/9/2008,13,,0
949,2/9/2008,14,,0
950,2/9/2008,15,,0
951,2/9/2008,16,,0
952,2/9/2008,17,,0
953,2/9/2008,18,,0
954,2/9/2008,19,,0
955,2/9/2008,20,,0
956,2/9/2008,21,,0
957,2/9/2008,22,,0
958,2/9/2008,23,,0
959,2/9/2008,24,,0
960,2/10/2008,1,,0
961,2/10/2008,2,,0
962,2/10/2008,3,,0
963,2/10/2008,4,,0
964,2/10/2008,5,,0
965,2/10/2008,6,,0
966,2/10/2008,7,,0
967,2/10/2008,8,,360
968,2/10/2008,9,,640
969,2/10/2008,10,,0
970,2/10/2008,11,,0
971,2/10/2008,12,,0
972,2/10/2008,13,,0
973,2/10/2008,14,,0
974,2/10/2008,15,,0
975,2/10/2008,16,,0
976,2/10/2008,17,,0
977,2/10/2008,18,,0
978,2/10/2008,19,,0
979,2/10/2008,20,,0
980,2/10/2008,21,,0
981,2/10/2008,22,,0
982,2/10/2008,23,,0
983,2/10/2008,24,,0
984,2/11/2008,1,,0
985,2/11/2008,2,,0
986,2/11/2008,3,,0
987,2/11/2008,4,,0
988,2/11/2008,5,,0
989,2/11/2008,6,,0
990,2/11/2008,7,,738
991,2/11/2008,8,,262
992,2/11/2008,9,,0
993,2/11/2008,10,,0
994,2/11/2008,11,,0
995,2/11/2008,12,,0
